id,date,city,state,type,ideology,subideology,group,description,image
7004,12/2018,Los Angeles,CA,Harassment,,,,Protesters stood outside a synagogue chanting that Jews are baby killers and Jews killed Jesus.,
7005,12/2018,Los Angeles,CA,Harassment,,,,"Anti-Semitic note left at a school that included the words ""fake ass Jew.""",
7006,12/2018,Glenwood,IA,Harassment,,,,Anti-Semitic comments made at a community leadership meeting.,
7007,12/2018,Denver,CO,Harassment,,,,A Jewish community center received a private message on their Facebook page that included an anti-Semitic meme.,
7008,12/2018,Charlottesville,VA,Harassment,,,,"A number of individuals received robocalls from Road to Power that included anti-Semitic rhetoric and conspiracy of the ""Jewish agenda for the displacement of whites in America.""",
7009,12/2018,New York,NY,Harassment,,,,Neighbors hung photos of Hitler and a Palestinian flag in their window that were directed at their Jewish neighbors.,
7010,12/2018,Sunrise,FL,Harassment,,,,A toy company received an anti-Semitic comment on their Instagram account.,
7011,12/2018,Amherst,MA,Harassment,,,,"Jewish student at the University of Massachusetts, Amherst was called a ""Fucking Jew"" and had the word ""Jew"" written on his dorm room door.",
7012,12/2018,Lexington,MA,Harassment,,,,"A Jewish man was buying Hanukkah cupcakes when the cash register attendant called him ""Yahud,"" which means ""Jew"" in Arabic, in a derogatory manner.",
7013,12/2018,Arlington,MA,Harassment,,,,Jewish student received an anti-Semitic message on Snapchat in response to a Snapchat message of a menorah.,
7014,12/2018,East Longmeadow,MA,Harassment,,,,Jewish students were verbally harassed and called anti-Semitic names on the school bus.,
7015,12/2018,San Francisco,CA,Harassment,,,,"An email was sent around that targeted eight Jewish lawyers who opposed Justice Kavanaugh's Supreme Court confirmation by referring to them as the ""Jewish anti-Trump league.""",
7016,12/2018,San Diego,CA,Harassment,,,,Anti-Semitic sermon broadcast on radio station.,
7017,12/2018,Northridge,CA,Harassment,,,,"A swastika and threatening messages to Jews and black people, were written on the wall of a restroom at CSUN.",
7018,12/2018,Grand Rapids,MI,Harassment,,,,Elementary school student was told by peer that she was not invited to the holiday party because she is Jewish.,
7019,12/2018,Chicago,IL,Harassment,,,,"Orthodox Jewish teacher was told by one of her students, ""I hate Jews. I'm in the Nation of Islam and I don't like Jews,"" and was repeatedly harassed with anti-Semitic comments by other students.",
7020,12/2018,Buffalo Grove,IL,Harassment,,,,"Jewish boy was the target of anti-Semitic harassment in a group chat, in which he was told he would be shoved in the ovens.",
7021,12/2018,Scottsdale,AZ,Harassment,,,,Confidential,
7022,12/2018,Greensburg,PA,Harassment,,,,Confidential,
7023,12/2018,Greenwood Village,CO,Harassment,,,,Confidential,
7024,12/2018,Scottsdale,AZ,Harassment,,,,Jewish high school student victim of anti-Semitic harassment and bullying in school by classmate.,
7025,12/2018,Buffalo,NY,Harassment,,,,"Individual drove down a street shouting ""The Holocaust was a hoax. The Jews are lying.""",
7026,12/2018,Lehighton,PA,Harassment,,,,Synagogue received a threatening and anti-Semitic message.,
7027,12/2018,Agawam,MA,Harassment,,,,Jewish boy victim of anti-Semitic harassment by other students at his gymnasium.,
7028,12/2018,Austin,TX,Harassment,,,,Individual received anti-Semitic comments on a Facebook review of a Jewish food truck.,
7029,12/2018,Amherst,MA,Harassment,,,,A swastika was taped to the back of a student at a high school.,
7030,12/2018,Chicago,IL,Harassment,,,,Business put up an anti-Semitic message on their marquee.,
7031,12/2018,Hempstead,NY,Harassment,,,,Individual sent harassing and anti-Semitic text messages to former employer.,
7032,12/2018,New York,NY,Harassment,,,,"Bar owner yelled at a customer: ""Get out, you Jew!""",
7033,12/2018,Philadelphia,PA,Harassment,,,,A teacher was subject to anti-Semitic harassment by his supervisor.,
7034,12/2018,Ypsilanti,MI,Harassment,,,,"A student memorial at Eastern Michigan University for the victims of the Tree of Life synagogue shooting was changed from ""Together against anti-Semitism"" to ""Together against Semitism.""",
7035,12/2018,Baltimore,MD,Harassment,,,,Individual subjected to anti-Semitic harassment by potential client.,
7036,12/2018,East Setauket,NY,Harassment,,,,Confidential,
7037,12/2018,Richmond,VA,Harassment,,,,Students at the University of Richmond decorated a gingerbread house with swastikas.,
7038,12/2018,Cary,NC,Harassment,,,,Anti-Semitic posts on Facebook page of Jewish institution.,
7039,12/2018,Grinnell,IA,Harassment,,,,"Student painted ""fuck Jews"" along with a swastika on a mug during a study break mug painting activity at Grinnell College.",
7040,12/2018,Denver,CO,Harassment,,,,Jewish woman was a victim of anti-Semitism after a man told her that her nose was not big enough to be Jewish and threw pennies at her.,
7041,12/2018,Washington,DC,Harassment,,,,Synagogue received anti-Semitic email.,
7042,12/2018,Chevy Chase,MD,Harassment,,,,"Synagogue received anti-Semitic email that read: ""Congratulations ! Jews are the new NAZI's to Palestine... Israel shoots kids. Just like the Nazi scum.. You ARE fast becoming hated across the world for being oppressive bullies !! Congrats !!!!!!!!!!!!!!!""",
7043,12/2018,Cardiff-by-the-Sea,CA,Harassment,,,,Synagogue received anti-Semitic email.,
7044,12/2018,San Diego,CA,Harassment,,,,Synagogue received anti-Semitic email.,
